iata,name,lat,lon,country,
RYK,Rahim Yar Khan Shaikh Zayed International Airport,28.3839,70.279572,Pakistan,
RFP,Raiatea Airport,-16.722799,-151.464996,French Polynesia,
RPR,Raipur Swami Vivekananda Airport,21.180401,81.738747,India,
RJA,Rajahmundry Airport,17.110359,81.818199,India,
RJB,Rajbiraj Airport,26.508841,86.737251,Nepal,
RAJ,Rajkot Airport,22.309179,70.779518,India,
RJH,Rajshahi Shah Makhdum Airport,24.43721,88.616508,Bangladesh,
QCR,Rakkestad Airport,59.39679,11.347708,Norway,
RDU,Raleigh-Durham International Airport,35.877628,-78.787399,United States,
RZR,Ramsar International Airport,36.909901,50.679581,Iran,
RMS,Ramstein Air Base,49.436909,7.600283,Germany,
NTX,Ranai Airport,3.90871,108.388,Indonesia,
IXR,Ranchi Birsa Munda Airport,23.314251,85.321671,India,
QTR,Rancho Murieta Airport,38.486874,-121.102745,United States,
RGI,Rangiroa Airport,-14.9552,-147.656998,French Polynesia,
YRT,Rankin Inlet Airport,62.81139,-92.115799,Canada,
UNN,Ranong Airport,9.7775,98.585281,Thailand,
RAP,Rapid City Regional Airport,44.04533,-103.056999,United States,
RKT,Ras Al Khaimah International Airport,25.61348,55.938808,United Arab Emirates,
RAS,Rasht Airport,37.32531,49.605808,Iran,
,Raton Municipal Airport,,,,
,,,,,
RAN,Ravenna Airport,44.36433,12.225415,Italy,
RVT,Ravensthorpe Airport,-33.779999,120.199997,Australia,
RWL,Rawlins Municipal Airport,41.804443,-107.201385,United States,
UTP,Rayong Pattaya U-Tapao International Airport,12.67994,101.004997,Thailand,
RDG,Reading Regional Airport,40.378613,-75.96389,United States,
REC,Recife Airport,-8.12679,-34.923,Brazil,
RCQ,Reconquista Airport,-29.210278,-59.68,Argentina,
RBL,Red Bluff Municipal Airport,40.154999,-122.252464,United States,
YQF,Red Deer Regional Airport,52.18222,-113.893997,Canada,
RDB,Red Dog Airport,68.032097,-162.899002,United States,
YRL,Red Lake Airport,51.060001,-93.790001,Canada,
YRS,Red Sucker Lake Airport,54.167568,-93.557617,Canada,
RDN,Redang Airport,5.765045,103.004967,Malaysia,
RDD,Redding Municipal Airport,40.508999,-122.292999,United States,
KRH,Redhill Aerodrome,51.2136,-0.138611,United Kingdom,
RDM,Redmond Municipal Airport,44.254051,-121.149002,United States,
QYD,Redon Bains-sur-Oust Airport,47.698708,-2.037918,France,
REG,Reggio Calabria Airport,38.071201,15.65155,Italy,
QIE,Reggio Emilia Airport,44.697876,10.665618,Italy,
YQR,Regina International Airport,50.431938,-104.665001,Canada,
QER,Reichelsheim Airport,50.335888,8.878789,Germany,
RHE,Reims Champagne Air Base,49.3102,4.050747,France,
QYR,Reims Prunay Airport,49.208611,4.156667,France,
QEX,Rendsburg Schachtholm Airport,54.220001,9.599444,Germany,
RGT,Rengat Japura Airport,-0.3528,102.3349,Indonesia,
